"Artikel-Nr";"Bezeichnung";"Langtext";"Zugangslager";"Abgangslager";"Maﬂeinheit";"Anzahl pro Maﬂeinheit";"Grundeinheit";"Verpackungseinheit";"EAN";"Hersteller";"Herstellernummer";"Kontenzuordnung";"Kontenzuordnung Kasse";"Leistung";"Bestandsf¸hrung";"Negativbestand erlaubt";"Rabattf‰hig";"Gewicht";"L‰nge";"Breite";"Hˆhe";"Erstellt am";"Zuletzt aktualisiert am";"Bestand: Hauptlager";"Meldebestand: Hauptlager";"Preis: Endkundenpreis";"Warenwert: Hauptlager";"Warenwert Gesamt:";"Einkauf Lieferant 0";"Einkauf Lieferant Nummer 0";"Einkauf VPE0";"Einkauf Bestellnummer 0";"Einkauf Preis 0";"Einkauf Rabatt 0";"Einkauf Menge 0"
"14332";"Indofood, Kecap Manis 138 ml";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 100 ml</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""acol-2"">440 kkal</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">10 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">Ges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">106 g</td>\n</tr><tr><td class=""col-1 sub"">Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">82 g</td>\n</tr><tr><td class=""col-1 sub"">Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">2 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">Salz</td>\n<td class=""col-2"">4,6 g</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">0%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table></div>\n<div class=""pd-AttributeGroup"">†</div>\n<div class=""pd-AttributeGroup"">Ursprungsland : Indonesien<br /> Hersteller/Importer: AsRopa Food GmbH<br /> Berliner Str. 6 21509, Deutschland.</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.215Z";"2021-12-28T17:21:52.698Z";"0";"";"1,89";;"0";;;;;;;
"14333";"Indofood, Kecap Manis 275 ml";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.275Z";"2021-12-28T17:21:53.646Z";"0";"";"2,89";;"0";;;;;;;
"14334";"Indofood, Kecap Manis 615 ml";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.329Z";"2021-12-28T17:21:54.510Z";"0";"";"3,5";;"0";;;;;;;
"14335";"Nesia, Bananen Chips S¸ﬂ 100g";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.394Z";"2021-12-28T17:21:55.398Z";"0";"";"2,5";;"0";;;;;;;
"14336";"NESIA, Sambal Goreng Tempe Pedas, 100g";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.453Z";"2021-12-28T17:21:56.279Z";"0";"";"2,5";;"0";;;;;;;
"14337";"85, Javanische Ingwersaft, 20g";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.501Z";"2021-12-28T17:21:57.196Z";"0";"";"0,5";;"0";;;;;;;
"14338";"Udang Mas, Kerupuk Opak Pedis, 100g";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.571Z";"2021-12-28T17:21:58.075Z";"0";"";"1,79";;"0";;;;;;;
"14339";"FLYING GOOSE BRAND,TOM YUM PASTE, 195gr";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 100 g</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">307 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">24 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">\n<p>4 g</p>\n</td>\n<td class=""col-1"">Kohlenhydrate gesamt †</td>\n<td class=""col-2"">21 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte †</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">3 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">9,2 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">1,6 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">Salz</td>\n<td class=""col-2"">†7,7</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">15 mg</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table><p>†</p>\n<p><br />Ursprungsland : Philippinen <br />Hersteller/Importer: Heuschen &amp; Schrouff OFT B.V.<br />PO Box 30202, 6370 KE Landgraaf, Niederlande.<br />p: 0031-(0)45-5338283<br />e: sales@heuschenschrouff.com</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.626Z";"2021-12-28T17:21:58.959Z";"0";"";"2,5";;"0";;;;;;;
"14340";"SIX FORTUNE, Gerˆstete dicke Bohnen, 170g";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 100 g</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">477 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">23 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">10 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt †</td>\n<td class=""col-2"">17 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte †</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">3 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">20 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">†</td>\n<td class=""col-2"">†</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Salz</td>\n<td class=""col-2"">1,2 mg</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table><p><br />Hersteller/Importer: Heuschen &amp; Schrouff OFT B.V.<br />PO Box 30202, 6370 KE Landgraaf, Niederlande.<br />p: 0031-(0)45-5338283<br />e: sales@heuschenschrouff.com</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"SIX FORTUNE";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.681Z";"2021-12-28T17:21:59.790Z";"0";"";"1,99";;"0";;;;;;;
"14341";"MAEKRUA, Austernsoﬂe, 600 ml";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 100 ml</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">70 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">17 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">11 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">0 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">Salz</td>\n<td class=""col-2"">8,28 g</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">0%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table><p>Ursprungsland : Thailand<br /> Hersteller/Importer: Chuew Huad Co., Ltd.<br />500 Bangsaen-Angsila Rd., Amphur Muang, Chonburi 20130, Thailand. <br />p: 66-3819-1501-6</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"MAEKRUA";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.733Z";"2021-12-28T17:22:00.584Z";"0";"";"2,75";;"0";;;;;;;
